class	nfur.D6d.1	nfur.D6d.2	nfur.D6d.3	nfur.D6d.4	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	pvalue	padj	FC
PG_LongChainFA	0.907036310216207	0.852218585981651	0.736456332592315	0.936456305020388	0.267082348973237	0.281174882574683	0.29046461330764	0.000785646075203825	0.00371693142683787	1.61781814005303
PG_MUFA	0.0121839437808704	0.0133302523013449	0.0123497624100342	0.0110000671309079	0.0094325165759714	0.0115273937124324	0.0112882392947673	0.148365710494015	0.175080032499001	0.184518844220567
PG_PUFA	0.0124890160888397	0.0163047300512473	0.0140126455591991	0.0122839033102746	0.0107114885874427	0.0109844048572825	0.0111811646074744	0.0546789454375007	0.0799153817932702	0.329679481628322
PG_PUFA_5	0.000871549234097796	0.0015813596456031	0.00121795959661168	0.000839818605066324	0.000815013805274168	0.000901597927922248	0.000952307644359524	0.266308612226038	0.305749156502299	0.342053981220526
PG_PUFA_6	0.0116174668547419	0.0147233704056442	0.0127946859625874	0.0114440847052083	0.00989647478216855	0.0100828069293602	0.0102288569631149	0.0409538102637506	0.0669352597859149	0.328581061882354
PG_SFA	0.894852366435337	0.838888333680306	0.724106570182281	0.92545623788948	0.257649832397266	0.26964748886225	0.279176374012873	0.000831418871792681	0.00371693142683787	1.6536957215105
PG_VeryLongChainFA	0.0124890160888397	0.0163047300512473	0.0140126455591991	0.0122839033102746	0.0107114885874427	0.0109844048572825	0.0111811646074744	0.0546789454375007	0.0799153817932702	0.329679481628322
PE_EtherLinked	2.09893215246583	2.05744686262514	1.7564290615559	1.8611671548458	1.63511397233456	1.82140886762825	1.83891593168147	0.147238647247477	0.175080032499001	0.138864783274183
PE_LongChainFA	5.96129459468086	5.97616359919547	5.48405093731744	5.6375387326966	7.21939280258825	7.5449476039938	7.68393017138548	0.000402488825716708	0.00305891507544698	-0.376308859245407
PE_MUFA	1.08002052058692	1.18882594410637	1.15077197000469	1.08598198128357	2.0285942123017	1.96676785548388	2.04606829616719	2.2139610572364e-06	0.000168261040349966	-0.838208288245284
PE_MediumChainFA	0.00472459031371833	0.00469651915449068	0.00420698176336002	0.00590305655752402	0.00161353755060193	0.00159191499316415	0.00197686084424134	0.00164760298216342	0.00626089133222101	1.49907106865333
PE_PUFA	4.8149478828882	4.94112091830654	4.50225405566269	4.49341658430347	6.3734886215862	6.73250248759699	6.86804987261157	0.000398192725629441	0.00305891507544698	-0.506139307146069
PE_PUFA_2	0.300803260140141	0.363181988218106	0.324079389226275	0.283128637743152	0.334523345863383	0.350003247341579	0.360606043524453	0.17998098353635	0.208832896927674	-0.132540146282798
PE_PUFA_3	0.0357598333025059	0.0350331023173197	0.0405044404380542	0.0390042480569722	0.10382407033759	0.0557604853073823	0.0615803964269423	0.138677834302507	0.171374234260008	-0.972299680941403
PE_PUFA_4	0.154136956868442	0.169201695703847	0.150453555350024	0.152383008335003	0.16229935404946	0.161156953877355	0.158535280237851	0.413449538519767	0.458717736167916	-0.0374790593219217
PE_PUFA_5	0.762246754235834	0.688898324531849	0.562473005169487	0.701442073283203	0.645908533813003	0.704931235859992	0.701644012509659	0.912324737317572	0.912324737317572	-0.0114241578075397
PE_PUFA_6	3.56200107834128	3.68480580753542	3.42474366547885	3.31745861688514	5.12693331752276	5.46065056521068	5.58568413991267	0.00074270443168421	0.00371693142683787	-0.62435494211677
PE_SFA	2.15135390304135	2.14843652362383	2.07299564810681	2.08222974811581	2.92444166854525	3.13845668388189	3.1882349006338	0.00455136487782704	0.0128112492857354	-0.544860149670809
PE_VeryLongChainFA	3.95696175591511	4.08500664730903	3.75564906635584	3.67270378671738	5.51458888143399	5.85781916265958	5.99970163774519	0.000611522083584318	0.003505939846834	-0.582307309851832
LPC_LongChainFA	0.0847673931696186	0.0786761530400508	0.0747270436973261	0.0907527489414068	0.031168740593044	0.0279797335908048	0.0300766969140921	0.000350328428196297	0.00305891507544698	1.46719121146285
LPC_MUFA	0.0272332094771088	0.0296455284970126	0.0269654592080453	0.0310418668617953	0.011235339326785	0.0111827161119121	0.0111893542802331	0.000381174048895738	0.00305891507544698	1.35831505018419
LPC_PUFA	0.00473885203892888	0.0049112103788052	0.00500092868099583	0.00648316705359985	0.00279864906021689	0.00359459292718718	0.00395814142102063	0.0180129325156469	0.0322113616750392	0.614715557348816
LPC_PUFA_2	0.00111950070236854	0.00151050885239869	0.0012797552182404	0.00145525783982959	0.000537882205783135	0.000531532852216808	0.000609844858172436	0.00195724835938724	0.00710296723984007	1.26072120430471
LPC_PUFA_5	0.000357176828433332	0.000330272390054223	0.000320779482134582	0.000455935248967354	0.000263611961161777	0.000357521796626686	0.000368319568742156	0.463949813952082	0.511017186382004	0.150336048327732
LPC_PUFA_6	0.00326217450812701	0.00307042913635229	0.00340039398062085	0.00457197396480291	0.00199715489327198	0.00270553827834369	0.00297997699410604	0.0728111663732809	0.0970815551643745	0.481799411188386
LPC_SFA	0.103087542732971	0.0948518865156729	0.0885027041519468	0.104106979102162	0.0398676146879573	0.0362347594720385	0.0371403026342638	0.00022906461084191	0.00248698720342645	1.37104872618971
LPC_VeryLongChainFA	0.0502922110793901	0.0507324723514399	0.0457420483436619	0.0508792640761507	0.0227328624819152	0.023032334920333	0.0222111014214254	0.000138677936564999	0.00191627694162544	1.12477751111884
DG_LongChainFA	44.7064253032382	65.836819110427	36.3953236155537	40.6225119601658	18.5040449266316	13.5463237691916	13.0903760380679	0.0135330204773313	0.026372039904543	1.63982086657033
