class	nfur.D1m.1	nfur.D1m.2	nfur.D1m.3	nfur.D1m.4	nfur.D6d.1	nfur.D6d.2	nfur.D6d.3	nfur.D6d.4	pvalue	padj	FC
PG_LongChainFA	0.954958119400587	1.00312964318219	1.0860367465862	0.892292076239136	0.907036310216207	0.852218585981651	0.736456332592315	0.936456305020388	0.0811695556012169	0.293756486937737	0.197762930551232
PG_MUFA	0.00977608240486075	0.00974570567860397	0.00959794782237954	0.0100947517933563	0.0121839437808704	0.0133302523013449	0.0123497624100342	0.0110000671309079	0.0128434948539072	0.0929624389425664	-0.317385970689611
PG_PUFA	0.00886774911766059	0.00951579386828399	0.0138152294989427	0.00944665481672484	0.0124890160888397	0.0163047300512473	0.0140126455591991	0.0122839033102746	0.0644775491670272	0.254463165338391	-0.403640093266781
PG_PUFA_5	0.000438165384850113	0.000490356409605814	0.00100692884086542	0.000484153664799497	0.000871549234097796	0.0015813596456031	0.00121795959661168	0.000839818605066324	0.057485059142236	0.254463165338391	-0.898576076093162
PG_PUFA_6	0.00842958373281047	0.00902543745867817	0.0128083006580773	0.00896250115192534	0.0116174668547419	0.0147233704056442	0.0127946859625874	0.0114440847052083	0.068805843432154	0.261462205042185	-0.366752137019115
PG_SFA	0.945182036995726	0.993383937503586	1.07643879876382	0.88219732444578	0.894852366435337	0.838888333680306	0.724106570182281	0.92545623788948	0.0777039331346123	0.288073117962465	0.204006143757855
PG_VeryLongChainFA	0.00886774911766059	0.00951579386828399	0.0138152294989427	0.00944665481672484	0.0124890160888397	0.0163047300512473	0.0140126455591991	0.0122839033102746	0.0644775491670272	0.254463165338391	-0.403640093266781
PE_EtherLinked	1.67906804834392	1.91216597846673	1.68752647627796	1.92578548123932	2.09893215246583	2.05744686262514	1.7564290615559	1.8611671548458	0.228856761705675	0.511562173224451	-0.109744993552627
PE_LongChainFA	5.5602579565545	6.22159454342816	5.43572010247127	6.11584888529632	5.96129459468086	5.97616359919547	5.48405093731744	5.6375387326966	0.778624890847131	0.863875791304846	0.0170649283070161
PE_MUFA	1.03293270573048	1.12531265778166	1.03269786255488	1.09057594091422	1.08002052058692	1.18882594410637	1.15077197000469	1.08598198128357	0.159423205270478	0.417798744846771	-0.073596588323377
PE_MediumChainFA	0.00616317543109596	0.00664403879854025	0.00676125404926491	0.0064475389397505	0.00472459031371833	0.00469651915449068	0.00420698176336002	0.00590305655752402	0.0150905050389251	0.099728555039853	0.413622828096777
PE_PUFA	4.26619961442736	4.80059413081807	4.25298568125137	4.6884114886425	4.8149478828882	4.94112091830654	4.50225405566269	4.49341658430347	0.346479387156784	0.540234403874813	-0.058371171679719
PE_PUFA_2	0.248311770547086	0.261723627566829	0.287023574504363	0.255431169237258	0.300803260140141	0.363181988218106	0.324079389226275	0.283128637743152	0.0424590166675145	0.221887124064182	-0.272376677536555
PE_PUFA_3	0.0309280849480243	0.0316965619329077	0.05442977698659	0.0346315615855703	0.0357598333025059	0.0350331023173197	0.0405044404380542	0.0390042480569722	0.955135594020393	0.974366512020804	0.0132271998225051
PE_PUFA_4	0.211812496034162	0.232028897836017	0.23051071349694	0.230193163832321	0.154136956868442	0.169201695703847	0.150453555350024	0.152383008335003	3.98932582172933e-05	0.00606377524902858	0.530626301116165
PE_PUFA_5	0.806282162520325	0.92281978704141	0.734486823276764	0.91485391448457	0.762246754235834	0.688898324531849	0.562473005169487	0.701442073283203	0.0364696970396611	0.19797835535816	0.315374217135158
PE_PUFA_6	2.96886510037776	3.35232525644091	2.94653479298671	3.25330167950278	3.56200107834128	3.68480580753542	3.42474366547885	3.31745861688514	0.0316076311328702	0.192174397287851	-0.159940900811929
PE_SFA	2.07547407744432	2.32173944822426	1.97970371313505	2.24509489972536	2.15135390304135	2.14843652362383	2.07299564810681	2.08222974811581	0.636645172356896	0.777616416393294	0.0282171390944401
PE_VeryLongChainFA	3.32418271916419	3.75765871584099	3.31784663752308	3.65800397035615	3.95696175591511	4.08500664730903	3.75564906635584	3.67270378671738	0.054932621281562	0.253022982872649	-0.138143400318894
LPC_LongChainFA	0.0638703771041914	0.073521533603699	0.0722873623657008	0.0719293745229711	0.0847673931696186	0.0786761530400508	0.0747270436973261	0.0907527489414068	0.0353307785628279	0.19797835535816	-0.224059741918624
LPC_MUFA	0.0277409853333141	0.0317765252371398	0.0303540070607419	0.0282572207291481	0.0272332094771088	0.0296455284970126	0.0269654592080453	0.0310418668617953	0.572002945863047	0.756038676271157	0.0401561800782909
LPC_PUFA	0.00580686468566912	0.00646175693985591	0.00449931377934358	0.00774795436771599	0.00473885203892888	0.0049112103788052	0.00500092868099583	0.00648316705359985	0.333174226287424	0.53874981272009	0.214140477420752
LPC_PUFA_2	0.00142830027483689	0.00134021141970134	0.00151693105859516	0.00154528784948169	0.00111950070236854	0.00151050885239869	0.0012797552182404	0.00145525783982959	0.302792142776172	0.517061224146744	0.120092415670478
LPC_PUFA_5	0.000411378608724453	0.000460599866402972	0.000309904016458322	0.000514830662785279	0.000357176828433332	0.000330272390054223	0.000320779482134582	0.000455935248967354	0.322588629646465	0.532972518546334	0.212665575786077
LPC_PUFA_6	0.00396718580210778	0.0046609456537516	0.0026724787042901	0.00568783585544902	0.00326217450812701	0.00307042913635229	0.00340039398062085	0.00457197396480291	0.396466951991257	0.593547872286372	0.248037258461435
LPC_SFA	0.0746898035694215	0.0844476723215553	0.0906271344217836	0.089746304752326	0.103087542732971	0.0948518865156729	0.0885027041519468	0.104106979102162	0.0492894206678563	0.234124748172318	-0.202046025227668
