class	nfur.D1m.1	nfur.D1m.2	nfur.D1m.3	nfur.D1m.4	nfur.Dexit.1	nfur.Dexit.2	nfur.Dexit.3	nfur.Dexit.4	pvalue	padj	FC
PG_LongChainFA	0.954958119400587	1.00312964318219	1.0860367465862	0.892292076239136	0.246751155935974	0.32578227624829	0.175123935491212	0.307969652287502	1.29140040685e-05	0.000159248626256676	1.89878272348083
PG_MUFA	0.00977608240486075	0.00974570567860397	0.00959794782237954	0.0100947517933563	0.0116739604925857	0.0133358882797606	0.0110973713419183	0.0127152773270635	0.0154358957702661	0.0223452967340995	-0.31615934282505
PG_PUFA	0.00886774911766059	0.00951579386828399	0.0138152294989427	0.00944665481672484	0.00888865092738747	0.00934906659990255	0.00885078623061032	0.00920133201979797	0.326924642093002	0.338044527878478	0.198592567108036
PG_PUFA_5	0.000438165384850113	0.000490356409605814	0.00100692884086542	0.000484153664799497	0.000796383336453776	0.000813690329697135	0.000898228729148422	0.000835060563174566	0.184119007602037	0.197085134897955	-0.466528853961871
PG_PUFA_6	0.00842958373281047	0.00902543745867817	0.0128083006580773	0.00896250115192534	0.0080922675909337	0.00853537627020541	0.0079525575014619	0.00836627145662341	0.217803418299276	0.229903608204791	0.251679695287603
PG_SFA	0.945182036995726	0.993383937503586	1.07643879876382	0.88219732444578	0.235077195443388	0.312446387968529	0.164026564149294	0.295254374960439	1.29354957797515e-05	0.000159248626256676	1.95265514531979
PG_VeryLongChainFA	0.00886774911766059	0.00951579386828399	0.0138152294989427	0.00944665481672484	0.00888865092738747	0.00934906659990255	0.00885078623061032	0.00920133201979797	0.326924642093002	0.338044527878478	0.198592567108036
PE_EtherLinked	1.67906804834392	1.91216597846673	1.68752647627796	1.92578548123932	1.50288939017909	1.57709903840699	1.52039834032288	1.5644763538443	0.0277961507257465	0.0358052111043514	0.224838654481245
PE_LongChainFA	5.5602579565545	6.22159454342816	5.43572010247127	6.11584888529632	6.43315094933143	6.72480297820794	6.22761878382048	6.81317666548872	0.0276737276631662	0.0358052111043514	-0.167100073040148
PE_MUFA	1.03293270573048	1.12531265778166	1.03269786255488	1.09057594091422	1.65246083524612	1.67149970108348	1.52511023959506	1.71457780105222	9.49869761665125e-05	0.000497862771631376	-0.61637521390478
PE_MediumChainFA	0.00616317543109596	0.00664403879854025	0.00676125404926491	0.0064475389397505	0.00198819735887964	0.00273080189004839	0.00175381271288312	0.00229505832354934	1.14542273017216e-05	0.000159248626256676	1.56910120294636
PE_PUFA	4.26619961442736	4.80059413081807	4.25298568125137	4.6884114886425	5.62432570173246	5.79618762989396	5.50326711838056	5.88638753057021	0.000828001813895965	0.00220800483705591	-0.341023814284905
PE_PUFA_2	0.248311770547086	0.261723627566829	0.287023574504363	0.255431169237258	0.346088777580175	0.330995459844527	0.328859095127891	0.332406970211761	0.00121711598756266	0.00303281360835286	-0.346649059235414
PE_PUFA_3	0.0309280849480243	0.0316965619329077	0.05442977698659	0.0346315615855703	0.0774759161017779	0.066392811869188	0.0698084721926727	0.0682153782385213	0.00540037930107337	0.0089223658017734	-0.894057696994861
PE_PUFA_4	0.211812496034162	0.232028897836017	0.23051071349694	0.230193163832321	0.199501337840213	0.2122091276419	0.194992595609768	0.216165704471084	0.0261648868244413	0.0348605036719573	0.136530347324992
PE_PUFA_5	0.806282162520325	0.92281978704141	0.734486823276764	0.91485391448457	0.690798504216184	0.732897167738916	0.664106543547602	0.719706876330889	0.0451486958096894	0.0544650933577205	0.267067686462574
PE_PUFA_6	2.96886510037776	3.35232525644091	2.94653479298671	3.25330167950278	4.31046116599411	4.45369306279943	4.24550041190262	4.54989260131795	0.000111453192015967	0.000564696172880897	-0.487902766462421
PE_SFA	2.07547407744432	2.32173944822426	1.97970371313505	2.24509489972536	2.55078506704992	2.73710585333719	2.48366809432406	2.78897868045687	0.00399311201241539	0.0073126870588812	-0.292586793387392
PE_VeryLongChainFA	3.32418271916419	3.75765871584099	3.31784663752308	3.65800397035615	4.64467929968043	4.81853664886563	4.56216190957996	4.90575237667047	0.000220976614355866	0.000839711134552291	-0.429400790289253
LPC_LongChainFA	0.0638703771041914	0.073521533603699	0.0722873623657008	0.0719293745229711	0.022573150097945	0.0281665151111212	0.0283422906742592	0.0269955324667778	1.35706223522275e-05	0.000159248626256676	1.40857311516722
LPC_MUFA	0.0277409853333141	0.0317765252371398	0.0303540070607419	0.0282572207291481	0.00919858547002844	0.0107985271830137	0.0136315207788728	0.0109470097344841	8.2802884977664e-06	0.000159248626256676	1.40603246703896
LPC_PUFA	0.00580686468566912	0.00646175693985591	0.00449931377934358	0.00774795436771599	0.00189046992236256	0.00204778232871176	0.00322404631899815	0.00268263016440986	0.00697140194998025	0.0113941193160968	1.31626445543926
