class	nfur.D6d.1	nfur.D6d.2	nfur.D6d.3	nfur.D6d.4	nfur.Dexit.1	nfur.Dexit.2	nfur.Dexit.3	nfur.Dexit.4	pvalue	padj	FC
PG_LongChainFA	0.907036310216207	0.852218585981651	0.736456332592315	0.936456305020388	0.246751155935974	0.32578227624829	0.175123935491212	0.307969652287502	6.00467176950624e-05	0.000955240764521594	1.7010197929296
PG_MUFA	0.0121839437808704	0.0133302523013449	0.0123497624100342	0.0110000671309079	0.0116739604925857	0.0133358882797606	0.0110973713419183	0.0127152773270635	0.988558085996165	0.988558085996165	0.00122662786456076
PG_PUFA	0.0124890160888397	0.0163047300512473	0.0140126455591991	0.0122839033102746	0.00888865092738747	0.00934906659990255	0.00885078623061032	0.00920133201979797	0.0140244069669905	0.0222053110310683	0.602232660374817
PG_PUFA_5	0.000871549234097796	0.0015813596456031	0.00121795959661168	0.000839818605066324	0.000796383336453776	0.000813690329697135	0.000898228729148422	0.000835060563174566	0.191487933199903	0.222184472109811	0.432047222131292
PG_PUFA_6	0.0116174668547419	0.0147233704056442	0.0127946859625874	0.0114440847052083	0.0080922675909337	0.00853537627020541	0.0079525575014619	0.00836627145662341	0.00886477614842181	0.0158523055830602	0.618431832306719
PG_SFA	0.894852366435337	0.838888333680306	0.724106570182281	0.92545623788948	0.235077195443388	0.312446387968529	0.164026564149294	0.295254374960439	6.28447871395785e-05	0.000955240764521594	1.74864900156193
PG_VeryLongChainFA	0.0124890160888397	0.0163047300512473	0.0140126455591991	0.0122839033102746	0.00888865092738747	0.00934906659990255	0.00885078623061032	0.00920133201979797	0.0140244069669905	0.0222053110310683	0.602232660374817
PE_EtherLinked	2.09893215246583	2.05744686262514	1.7564290615559	1.8611671548458	1.50288939017909	1.57709903840699	1.52039834032288	1.5644763538443	0.0135614369338774	0.021929132063291	0.334583648033872
PE_LongChainFA	5.96129459468086	5.97616359919547	5.48405093731744	5.6375387326966	6.43315094933143	6.72480297820794	6.22761878382048	6.81317666548872	0.00508227594180997	0.0109157819513804	-0.184165001347164
PE_MUFA	1.08002052058692	1.18882594410637	1.15077197000469	1.08598198128357	1.65246083524612	1.67149970108348	1.52511023959506	1.71457780105222	0.000110367395622397	0.00112730043689793	-0.542778625581403
PE_MediumChainFA	0.00472459031371833	0.00469651915449068	0.00420698176336002	0.00590305655752402	0.00198819735887964	0.00273080189004839	0.00175381271288312	0.00229505832354934	0.00150725383933789	0.00467556293019099	1.15547837484959
PE_PUFA	4.8149478828882	4.94112091830654	4.50225405566269	4.49341658430347	5.62432570173246	5.79618762989396	5.50326711838056	5.88638753057021	0.000507350121617648	0.00226148630480181	-0.282652642605186
PE_PUFA_2	0.300803260140141	0.363181988218106	0.324079389226275	0.283128637743152	0.346088777580175	0.330995459844527	0.328859095127891	0.332406970211761	0.407661169616448	0.449018099867392	-0.0742723816988596
PE_PUFA_3	0.0357598333025059	0.0350331023173197	0.0405044404380542	0.0390042480569722	0.0774759161017779	0.066392811869188	0.0698084721926727	0.0682153782385213	0.000126882757264647	0.00112730043689793	-0.907284896817366
PE_PUFA_4	0.154136956868442	0.169201695703847	0.150453555350024	0.152383008335003	0.199501337840213	0.2122091276419	0.194992595609768	0.216165704471084	0.000344156942140412	0.0018038570760463	-0.394095953791173
PE_PUFA_5	0.762246754235834	0.688898324531849	0.562473005169487	0.701442073283203	0.690798504216184	0.732897167738916	0.664106543547602	0.719706876330889	0.633562372425496	0.659599182251201	-0.0483065306725845
PE_PUFA_6	3.56200107834128	3.68480580753542	3.42474366547885	3.31745861688514	4.31046116599411	4.45369306279943	4.24550041190262	4.54989260131795	0.000168436921584504	0.00112730043689793	-0.327961865650493
PE_SFA	2.15135390304135	2.14843652362383	2.07299564810681	2.08222974811581	2.55078506704992	2.73710585333719	2.48366809432406	2.78897868045687	0.00371239419667882	0.00854975633174517	-0.320803932481832
PE_VeryLongChainFA	3.95696175591511	4.08500664730903	3.75564906635584	3.67270378671738	4.64467929968043	4.81853664886563	4.56216190957996	4.90575237667047	0.000460124255181548	0.00211936020568471	-0.291257389970359
LPC_LongChainFA	0.0847673931696186	0.0786761530400508	0.0747270436973261	0.0907527489414068	0.022573150097945	0.0281665151111212	0.0283422906742592	0.0269955324667778	0.000150668712445575	0.00112730043689793	1.63263285708585
LPC_MUFA	0.0272332094771088	0.0296455284970126	0.0269654592080453	0.0310418668617953	0.00919858547002844	0.0107985271830137	0.0136315207788728	0.0109470097344841	1.27098063128456e-05	0.000735425453462333	1.36587628696067
LPC_PUFA	0.00473885203892888	0.0049112103788052	0.00500092868099583	0.00648316705359985	0.00189046992236256	0.00204778232871176	0.00322404631899815	0.00268263016440986	0.00178684322738869	0.00517475781901461	1.10212397801851
LPC_PUFA_2	0.00111950070236854	0.00151050885239869	0.0012797552182404	0.00145525783982959	0.000406955309424062	0.000486428861601493	0.000479741235973131	0.000476665276558139	0.00163172822745341	0.00486319001123369	1.53622222257194
LPC_PUFA_5	0.000357176828433332	0.000330272390054223	0.000320779482134582	0.000455935248967354	0.00017737869571459	0.000188331028249554	0.000295143327713606	0.000226283390529064	0.0127503094314154	0.0210657286258168	0.722849194065303
LPC_PUFA_6	0.00326217450812701	0.00307042913635229	0.00340039398062085	0.00457197396480291	0.00130613591722391	0.00137302243886071	0.00244916175531141	0.00197968149732266	0.0066626565814284	0.0133253131628568	1.00900071943163
LPC_SFA	0.103087542732971	0.0948518865156729	0.0885027041519468	0.104106979102162	0.0300336709600276	0.039750503486378	0.0314873779577038	0.0401009114846992	1.93533014069035e-05	0.000735425453462333	1.46600283856391
LPC_VeryLongChainFA	0.0502922110793901	0.0507324723514399	0.0457420483436619	0.0508792640761507	0.0185495762544736	0.0244302978869823	0.0200006543813156	0.0267350189168154	6.21802243050636e-05	0.000955240764521594	1.13948880089341
DG_LongChainFA	44.7064253032382	65.836819110427	36.3953236155537	40.6225119601658	11.1980987866957	13.7565756900247	7.71808402936964	13.0752566641993	0.0105652341985691	0.017695308829491	2.03557943443029
DG_MUFA	0.349751676731942	0.371602484654565	0.388142801467041	0.400157905752839	0.374495455147994	0.355639852561735	0.269422194602475	0.370816701191667	0.265207231867408	0.300832083909298	0.139648865050069
DG_PUFA	0.28419271532656	0.290002132065892	0.312538954974187	0.307298324854711	0.381057623803689	0.350538241943987	0.292654017842635	0.375640227754456	0.079234009236845	0.0979151984065076	-0.229471927861695
DG_PUFA_2	0.0104489207778974	0.0123835183369108	0.0121568980536583	0.0138947864508418	0.0127974109166176	0.0112458930952087	0.00742327946507399	0.0112769426709795	0.305833566729774	0.344345941799449	0.193660060069443
DG_PUFA_4	0.0325265430648217	0.0346313921407148	0.0299256615575909	0.0322489111985237	0.0578397753922736	0.0538616975551119	0.0499113029740349	0.0525005315619605	0.000130194798989984	0.00112730043689793	-0.727289519549093
DG_PUFA_6	0.241217251483841	0.242987221588266	0.270456395362937	0.261154627205345	0.310420437494798	0.285430651293667	0.235319435403526	0.311862753521516	0.17494254675659	0.204548208515398	-0.170229019423369
DG_SFA	44.4575101951681	65.5604624447955	36.0576283083073	40.3082949161665	10.7807440854201	13.3747244401417	7.41105170121995	12.675626218	0.0105885471774918	0.017695308829491	2.07478392619585
DG_VeryLongChainFA	0.385029283988496	0.385247951088878	0.362986449194867	0.393239186608192	0.338198377676036	0.324326844622664	0.25504388429542	0.346826482746842	0.046193835108633	0.0656211489393665	0.271782395077797
PC_EtherLinked	0.353682034993962	0.341692734496478	0.327231270663682	0.356572504637988	0.401943254848518	0.426804326028432	0.403118904316115	0.429017591535553	0.000410011422980583	0.00194755425915777	-0.268142145880664
PC_LongChainFA	22.6113386039351	22.4852184262523	21.9651735108444	22.5642392919283	18.8163982805228	20.2443573759327	18.4180765910563	20.2539101525158	0.00569170497543645	0.011851221318717	0.205394409934955
PC_MUFA	11.053562000365	10.9980386278543	10.7719101932685	11.0648257475157	8.89013773633126	9.54698308601781	8.60167923076409	9.57582759575204	0.00331334419220764	0.00812303737444453	0.261417466539787
PC_MediumChainFA	0.532452646243168	0.378335315433483	0.354139978827721	0.539504091040238	0.591574616264034	0.587013295607612	0.585770185085981	0.571258157386102	0.0734934131388651	0.0915655639107172	-0.372258454947193
PC_PUFA	5.79054743539244	5.31826196770498	5.36032902073213	5.79988531316936	5.72506382975166	5.87547024018063	5.48488333249831	5.84338524842371	0.344627242231885	0.385171623670931	-0.0421227064317281
PC_PUFA_2	0.384278065135967	0.390949772491285	0.395284268141379	0.407945465366035	0.338412685418782	0.359829525087977	0.336971267407734	0.352169063196376	0.000701014431332491	0.00273215880929586	0.18614984673262
PC_PUFA_3	0.0706720232411739	0.0641655831570204	0.0734174791246845	0.0795075326737347	0.0950303428722915	0.0864331997141078	0.092624847787598	0.0861242609758941	0.00460025444295362	0.0103239529900136	-0.323969661365178
PC_PUFA_4	1.06515719753266	0.921194538228684	0.875319151800952	1.09521194687878	1.03646500849998	1.07430667789466	1.00712469381985	1.03360206435993	0.437906081492653	0.472400261910995	-0.0692678108337655
PC_PUFA_5	1.95871561719913	1.72098605987479	1.71575050751731	1.92638172094711	1.92817729094467	1.99442599594175	1.79875443161583	2.01361465553796	0.254023903653094	0.290313032746393	-0.0791910922630189
PC_PUFA_6	2.31172453228351	2.2209660139532	2.30055761414781	2.2908386473037	2.32697850201593	2.36047484154213	2.24940809186731	2.35787520435355	0.246195259541043	0.283497571592716	-0.0267338152191031
PC_SFA	9.59952988676731	9.55074785833759	9.20556353205247	9.53784523432968	7.84207522600138	8.50109822860296	7.81883153630682	8.45176183381145	0.00238306644782401	0.00613942542490254	0.216476421086106
PC_ShortChainFA	3.17278585302536e-05	4.16716458282266e-05	5.00889612621628e-05	4.07788852675193e-05	3.4402322672766e-05	2.85541354988481e-05	2.7292502787519e-05	3.97228736142546e-05	0.122729165903426	0.144611110211789	0.337846745345671
PC_VeryLongChainFA	3.65166052473627	3.34300823811738	3.34367416833323	3.65335413767809	3.4496054727308	3.51757155369524	3.30291977301996	3.47335932825553	0.567184158844574	0.594565463064657	0.025826108555066
MG_LongChainFA	611.250716948116	437.556835065208	430.002828992397	620.289519167468	165.511049866439	226.649178841692	145.808521770598	283.763834026507	0.00365047304918083	0.00854975633174517	1.35302994807615
MG_MUFA	31.5481817748062	25.5064978621441	23.638091660825	29.3873782552416	9.64629400452548	13.129376240207	8.04820975473151	16.1707945322835	0.00083303203830691	0.00301478261482501	1.2279851511857
MG_PUFA	210.359799726766	142.61961854698	138.653048060978	204.793778538229	59.6070266463532	77.3582535766567	53.7474721265329	98.863964099577	0.00713074435778183	0.0136962501684712	1.2660249655624
MG_PUFA_2	210.359799726766	142.61961854698	138.653048060978	204.793778538229	59.6070266463532	77.3582535766567	53.7474721265329	98.863964099577	0.00713074435778183	0.0136962501684712	1.2660249655624
MG_SFA	369.342735446544	269.430718656084	267.711689270594	386.108362373998	96.2577292155608	136.161549024828	84.0128398893335	168.729075394646	0.00292573402613765	0.00729035363890038	1.4137325846803
TG_LongChainFA	22.1793907645495	6.57272876362361	19.9256265041299	35.1018394308051	3.36858188192204	4.42507391878336	3.86302226666326	4.58565973932066	0.0628298113439653	0.0815533625818225	2.36683944710332
TG_MUFA	10.9177708284088	3.13205202758253	9.89629581403845	17.2374805076873	1.62302447675189	2.14110073013792	1.88865352311869	2.25911682128354	0.0633111630569411	0.0815533625818225	2.37997463197854
TG_MediumChainFA	0.0129350883076375	0.031811967400464	0.019283108701105	0.0171511416495108	0.00650711999920932	0.00665469773681438	0.00341888341740597	0.00679033343456097	0.0352044335523472	0.0519521737859881	1.79642594984788
TG_PUFA	11.1239711153195	3.27852597986583	9.45884176618023	16.9448268086443	1.65093155769755	2.22146571423854	1.95563541490806	2.34434983645318	0.0621401589491156	0.0814250358643583	2.31995851613871
TG_PUFA_2	0.518668188182055	0.140536624903082	0.50419476560393	0.844748117851601	0.0819951329554397	0.109444908968136	0.0947953662098693	0.108540146432055	0.0675091384098859	0.0862301599857366	2.34676081886609
TG_PUFA_3	1.61412728116647	0.397400991346505	1.48744962212492	2.8918302223972	0.249740548881249	0.319930732205223	0.304139966362547	0.325273045880057	0.0844314764066691	0.103496648498498	2.41406529033309
TG_PUFA_4	0.772616703328302	0.159899832206431	0.626009036942415	1.33128288337809	0.104303953404098	0.133422264983984	0.133322204247582	0.147555624993487	0.091070500564493	0.110741728686424	2.47826849888064
TG_PUFA_5	2.92973519528477	0.890096925285453	2.32949876223534	4.10397153470846	0.397933283013385	0.546001550088364	0.470558477059915	0.596597510329639	0.0537063542112618	0.0740012073255209	2.35003851249277
TG_PUFA_6	5.28882374735788	1.69059160612436	4.51168957927362	7.77299405030893	0.816958639443375	1.11266625799283	0.952819401028144	1.16638350881794	0.0557045069378479	0.0742726759171305	2.25033851709371
TG_SFA	7.83962745260878	2.64064157258318	7.03912876605001	12.109311323642	1.25528884072724	1.64184330812136	1.36751260966522	1.65485028816712	0.0549762310910265	0.0740012073255209	2.3234497519244
TG_VeryLongChainFA	7.68904354347993	2.44667884900747	6.44935673343772	11.172628067519	1.15415587325542	1.57268113597765	1.3453603976113	1.66586687314861	0.0547999120634399	0.0740012073255209	2.27425237025878
PI_EtherLinked	0.0322037196706017	0.0314598577122902	0.0326426013120043	0.0309397810652443	0.0310870844035952	0.0320601563373206	0.0277478413343992	0.0324980764959942	0.448762730680512	0.480365739883365	0.0443574417069487
PI_LongChainFA	1.87517489394261	1.9088791402457	1.80847978285301	1.85348702796866	1.62657781105142	1.70472740964737	1.61490807444061	1.73260637899897	0.00229337403426065	0.00601022160702791	0.156876492524956
PI_MUFA	0.0435290686653132	0.0339405597755095	0.0334866964507649	0.04105964008702	0.0561961810556985	0.0601898596625835	0.0679768116778904	0.063897584251735	0.000520736978079365	0.00226148630480181	-0.707631522699707
PI_PUFA	1.15255724666673	1.14486649694578	1.08954980542026	1.11731751501664	1.08364870260302	1.13893795758419	1.09415320002621	1.16282680325683	0.802194522465131	0.823875455504729	0.00794087823764985
PI_PUFA_2	0.000293701121024905	0.000285181946885821	0.000232918458360937	0.000256721120137794	0.0019227308383274	0.00174366587755843	0.00228849600351497	0.00199404979633523	0.000540693105350583	0.00228292644481357	-2.89514545983711
