m.z	class	FattyAcid	nfur.D6d.1	nfur.D6d.2	nfur.D6d.3	nfur.D6d.4	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	pvalue	padj	FC
800.6202	PE	(18:1/22:0)	0.00570786166649492	0.00545752046008462	0.00602155231010434	0.00610881745689877	0.00257650690723899	0.00263368891300711	0.00249609737548276	9.75887934665596e-05	0.0011683547217802	1.18092041501504
748.4923	PE	(15:0/22:6)	0.00189662026460152	0.0012841839939359	0.00157853782248078	0.00198871461074233	0.00718542625946743	0.00722878829412892	0.00697850784466949	4.17111533144169e-06	0.000238201745183028	-2.07961358901024
756.5583	PE	(19:1/18:1)	0.00219011906369946	0.00220060473103499	0.00229431892179193	0.00227904667776669	0.00261740047226219	0.00238403295249796	0.0023299765662905	0.138626038378141	0.16324541677863	-0.124971150060802
820.5882	PE	(20:0/22:5)	0.00734243202333691	0.00770627612901646	0.00673449231627049	0.00756560853527755	0.00431105766455909	0.00383935111239212	0.00399407115212182	6.79723800746623e-05	0.00104628913614927	0.857963749793429
620.4307	PE	(11:0/16:0)	0.000616338675722949	0.000530169602522366	0.000637147176221913	0.000817548040301777	0.000482958799032861	0.000497682504977405	0.000642406447630244	0.224910524052668	0.255095883859737	0.265436321903991
720.4986	PE	(16:1e/20:5)	0.193754635431371	0.138651959517364	0.104011667922722	0.16864880551555	0.082228773365027	0.111801073364017	0.0972299512932512	0.0618721429782613	0.0902085246152158	0.639750983798817
686.5148	PE	(16:1e/17:1)	0.00755785785087627	0.00677961066631186	0.005351358955815	0.00590879289192191	0.00254037102253862	0.0026899601161478	0.00245373026796423	0.00376217766616321	0.0112604067646968	1.32103124636329
766.5411	PE	(18:0/20:4)	0.0626302015420971	0.071884820062818	0.0662132661121986	0.0626223609248096	0.0461836853489145	0.0445016506615364	0.0442607577444181	0.00152290458247935	0.00580860066414692	0.549564297488571
728.5257	PE	(17:1/18:1)	0.00691841767852214	0.00789004741220917	0.00802247041533826	0.00733204443588159	0.0112804962096299	0.00971107942069003	0.00940784154512593	0.0305051149350806	0.0557106124449988	-0.426302197292162
808.4941	PE	(20:5/22:6)	0.00332122346071021	0.0031205128622998	0.00232187899591606	0.00328979872161674	0.0123052108541716	0.018252112579232	0.0161237125835944	0.0172543068188033	0.0362761279946548	-2.36843224211893
662.4776	PE	(16:0/14:0)	0.000125687319836289	0.00010905018501795	0.000156315446208732	0.000136938749529637	0.00834387750443618	0.00931071859363087	0.00869110733067639	0.00105380562311802	0.00463459411799866	-6.05594613685671
716.5246	PE	(16:0/18:1)	0.0198605080786003	0.0202067362337422	0.0210050986977476	0.0206514568494112	0.0263550253686589	0.0278208799711053	0.0278880068451877	0.00112879753583906	0.00486511737946637	-0.421029146203068
736.4938	PE	(16:0/20:5)	0.031980219218628	0.025202175350089	0.0228096354306931	0.0358507160976071	0.0545666521457909	0.0607861678748478	0.0602372523107708	0.000523946582181023	0.00326603377964635	-1.01508107049306
746.5135	PE	(16:1e/22:6)	1.31460646964294	1.2788295278327	1.11647798760956	1.16922163058414	1.08629261753104	1.19041004435375	1.21292670480673	0.39289313845694	0.420190924751715	0.0685142682541969
712.4936	PE	(16:0/18:3)	0.00307167591021046	0.00347809606472564	0.00426507606063143	0.00395991450420894	0.0112332719456178	0.00515334972579698	0.00598306419581786	0.184589245559395	0.212721831112565	-1.01344755278579
686.4774	PE	(14:0/18:2)	0.000326484538881219	0.000396687448596074	0.00022519567313735	0.00012712233602297	0.00286579547096757	0.00268329242840401	0.0028242476198029	7.78953990885209e-07	8.39322925178813e-05	-3.37584582827869
772.5298	PE	(18:2e/22:6)	0.189787365847968	0.229310031091877	0.206454765308823	0.175716871313829	0.199111154095211	0.223935597038349	0.22450913913042	0.325834756764203	0.355531089026257	-0.107755493517434
770.5716	PE	(20:1/18:1)	0.0372969660405309	0.0371014132276281	0.0370806661903919	0.037066647527411	0.0278426714849651	0.0241143074828045	0.0250343602471274	0.00929379389942139	0.0217697020144055	0.533101205489541
718.5405	PE	(18:0/16:0)	0.0105368131488548	0.00962142301572941	0.0104182969662572	0.00943642622492023	0.0240968042982388	0.0242057843002076	0.0249171796166126	2.85801876154578e-07	4.56202339724085e-05	-1.28680337166742
698.5137	PE	(16:1e/18:2)	0.0216018311163116	0.0190727009689563	0.0149794972871836	0.0170939693324192	0.00553282721609857	0.00420370846149597	0.00643448555573033	0.00104011887473024	0.00463459411799866	1.75445926993904
829.7137	SM	(d19:0/24:1)	0.00264465403447405	0.00298865023454016	0.00269738161902091	0.0029687900034221	0.00086046683235395	0.000627552773191177	0.000686290959738423	8.67284796470504e-06	0.000287538267137529	1.96258843178498
787.6717	SM	(d18:1/22:0)	0.33165361630593	0.363232697836315	0.246663475035568	0.261216894461252	0.0908986581394541	0.0940025670065389	0.0984949697242133	0.0049580605230867	0.0136982313169895	1.67042701938816
797.6546	SM	(d18:1/23:2)	0.00172077609134208	0.00185195677073195	0.00253198342504923	0.00280794629507343	0.000378426685245247	0.000853944170755727	0.00086115313813734	0.00503255827177332	0.0138154943639127	1.67488553666086
801.6871	SM	(d18:1/23:0)	0.00906853645575285	0.0115031936838308	0.0102400938201567	0.0100205349510089	0.00350931733050774	0.00304048077601702	0.00335227851887922	0.000443944171530611	0.00289908996863172	1.62887239759394
725.5589	SM	(d18:1/18:3)	0.174432542443868	0.194248052440217	0.166165356466355	0.193582286406605	0.0360997444853201	0.0342349923408331	0.0331404763421631	0.00019893062372125	0.00174977752701752	2.40046413000763
685.5304	SM	(d18:2/15:1)	0.000204839495278912	0.000301331573198391	0.000390989280309227	0.000267221209377843	9.88127114659375e-05	0.000150186760473666	0.000145712321906022	0.0195636722363262	0.0402879266753867	1.14565486343103
815.7032	SM	(d18:1/24:0)	0.135318107035593	0.13829510696515	0.111520840213939	0.130695479040612	0.039457117509203	0.0302220921945917	0.0328886543560369	0.000115729465002495	0.00128837158116883	1.91527809084389
833.7101	SM	(t18:0/24:0)	0.00294856474416474	0.00288763709667732	0.00211351989750112	0.00301672853114907	5.64983915533605e-05	7.69751702653459e-05	0.000135822878874068	0.000978389489966016	0.00453425666855218	4.93272014403468
675.5453	SM	(d14:0/18:1)	0.198243521947196	0.201987017686336	0.176550761136705	0.217214082443502	0.102076249240366	0.116208985686142	0.132628014417232	0.00143698893030103	0.00568203879779581	0.762978699137505
713.5595	SM	(d18:2/17:1)	0.000823276578096724	0.000769116003261472	0.000756469491545757	0.000983647064692933	0.000566698978502378	0.000249118397877842	0.000244559543822788	0.0279672706625975	0.0521813578163616	1.23699415738998
721.5864	SM	(t18:0/16:0)	0.00836495356436083	0.00878284994163231	0.00736534507583545	0.00835434957287881	0.00322620720946937	0.00283322686424531	0.00369012617067712	5.28847784889728e-05	0.00094972248036447	1.33821509219854
711.543	SM	(d17:1/18:3)	0.00744011948579165	0.00800735341283208	0.00773696688675095	0.00906393422880397	0.00948300230789043	0.00625596107717473	0.00700988076448489	0.680727617524989	0.698747427310285	0.0883956763863442
841.7194	SM	(d20:0/24:2)	0.00717553154340328	0.00694609664361612	0.00763363676229698	0.00751313374690928	0.00250748709953162	0.00317099852504256	0.00327484334781406	0.000207985183512523	0.00178066627916785	1.29381021597489
647.515	SM	(d18:1/12:0)	0.00129592671533489	0.00166722756495366	0.0018034241440511	0.00175707832598481	0.00049533946029036	0.000661306245466121	0.000717154904829565	0.000942064031229007	0.00446186370834838	1.38467593041432
699.5422	SM	(d18:2/16:1)	0.016850464453943	0.0100776884168406	0.0082593728933514	0.0165732370339305	0.00830219434896407	0.00628640263973192	0.00756911877970965	0.0830098616185126	0.11042361221475	0.809012217099014
697.5272	SM	(d14:0/20:4)	0.0696242490487776	0.0624202967276711	0.0530301040008645	0.0765951181544989	0.0465859340078777	0.0504667414599583	0.0564466477004322	0.0624509590918603	0.0903233670086973	0.354477458412536
813.6881	SM	(d18:1/24:1)	0.0542387812110714	0.0507764278876113	0.0417198957129472	0.048275660084762	0.0300522550546816	0.0475148403328075	0.043120603026621	0.242143885026209	0.271781287620562	0.277237634885171
677.5604	SM	(d14:0/18:0)	0.0410428975848456	0.0363707289548641	0.0296417971658371	0.0397100824577361	0.0149573706860243	0.0126434959579014	0.015016311303977	0.0018070508491992	0.00653513830788903	1.36896846857523
705.5921	SM	(d18:0/16:0)	0.0436321408436873	0.0388907061031337	0.0378546071718499	0.0446877761484092	0.0223521005156877	0.0188601285383179	0.0216915800027065	0.000219509526958343	0.00181939627152011	0.976779474910792
835.6701	SM	(d20:0/24:5)	0.0165623615904291	0.0137196724475923	0.0121958102452401	0.0180370859040481	0.0104724855696071	0.0167466059708707	0.0158135398240264	0.757556463053199	0.771883772047113	0.0768225663304137
