m.z	class	FattyAcid	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	nfur.Dexit.1	nfur.Dexit.2	nfur.Dexit.3	nfur.Dexit.4	pvalue	padj	FC
679.4583	PG	(15:0/14:0)	0.00253620878098634	0.00244366959709797	0.0022991267626916	0.00210108208626432	0.00319441008237724	0.00124957473708573	0.00283305409670766	0.862454357090599	0.915354772996146	0.0494798888539688
865.5047	PG	(22:6/22:6)	0.00454073048844719	0.00459060450071898	0.00463827465937768	0.00364794212723996	0.00386084297025414	0.00352716438615674	0.00376560544672442	0.000409769006370713	0.0103888495144575	0.310776419141689
867.5178	PG	(22:5/22:6)	0.000815013805274168	0.000901597927922248	0.000952307644359524	0.000796383336453776	0.000813690329697135	0.000898228729148422	0.000835060563174566	0.320047092873315	0.457506395821683	0.0899932409107658
791.5844	PG	(18:0/19:0)	0.121572449129661	0.126616377977811	0.131644940596361	0.109600535389137	0.146360839762007	0.0752150216666022	0.13843649471998	0.611259109107678	0.73181298895947	0.108933654877295
775.5514	PG	(18:0/18:1)	0.0094325165759714	0.0115273937124324	0.0112882392947673	0.0116739604925857	0.0133358882797606	0.0110973713419183	0.0127152773270635	0.153628975299206	0.272485960304353	-0.183292216356007
867.543	PI	(16:0e/22:6)	0.0244463617346935	0.0202075471794445	0.0219278663464967	0.0165579090154326	0.0173622179764592	0.0157185233320961	0.0176971764726409	0.0363815613469422	0.0995677702865664	0.398790525140006
881.5194	PI	(16:0/22:6)	0.173376671908287	0.175641122927269	0.188495838186386	0.0961491203103998	0.103025520175411	0.0968398218117548	0.110212463410323	0.0002324969641576	0.00770816858091735	0.819052977553355
885.549	PI	(18:0/20:4)	0.281229464743996	0.296513063712951	0.309326715644327	0.366307136566659	0.388214643991264	0.345577035083209	0.387972408450049	0.00206498365173329	0.0244839154268948	-0.331287451096823
861.5501	PI	(18:1/18:1)	0.0285958514901407	0.0229630508917989	0.0262109201393839	0.0213558600093644	0.0225560035748276	0.0261627843536161	0.0241103158929047	0.294235647512417	0.438808180200179	0.138751186683294
955.5359	PI	(22:5/22:6)	0.00150546448964579	0.00168192222263262	0.00181666341185553	0.000676992088744143	0.000792926628001269	0.000682283162154348	0.00086389217897614	0.00279366108234819	0.0280829812877839	1.1454523196941
889.5779	PI	(20:1/18:1)	0.00172459758980282	0.00143333407308308	0.00176574715804824	0.00163992262259635	0.00210397632142095	0.00226656633446592	0.00230539650419642	0.0657572629536944	0.150752023048097	-0.341091624492072
909.5504	PI	(18:0/22:6)	0.406298817750592	0.388475527968634	0.38528453792239	0.333755814306909	0.35069083476133	0.382628748629825	0.364162347281487	0.0358671485232225	0.0995677702865664	0.13663300942083
855.5051	PI	(16:0/20:5)	0.0510919805867948	0.0605380695589052	0.0642134553436007	0.0395505448078289	0.0395924787999735	0.0343219721739208	0.0395397604503003	0.0251180273195117	0.0832759213439196	0.615753050956225
911.5656	PI	(18:0/22:5)	0.113169697293732	0.110471979662637	0.116152884872333	0.0973006000690633	0.108386494695832	0.092395797601098	0.108754184540781	0.0601750408798907	0.144085792329072	0.155249098148514
857.518	PI	(16:0/20:4)	0.0901760151434174	0.100043657685187	0.103989351537202	0.0700192484102294	0.0687360885720255	0.0659229230559098	0.0709736527406475	0.014326841212123	0.0551657741738764	0.509031386305727
937.5818	PI	(20:0/22:6)	0.00266543283776139	0.00212044333015968	0.00231574731324567	0.00186676360260427	0.00226171265798418	0.00235749938898986	0.00253072838662281	0.620068631936621	0.736224739296649	0.0705862044031285
893.557	PI	(18:1e/22:6)	0.0232719898317309	0.017174692581377	0.0176192869896557	0.0145291753881626	0.0146979383608614	0.0120293180023031	0.0148009000233533	0.100023423962135	0.200049820312709	0.465827317022609
935.5656	PI	(20:1/22:6)	0.00783759524035005	0.00890534196099547	0.00914342630162494	0.00864196745244974	0.00920645126934674	0.00944867667783264	0.00940933271957967	0.307554858258059	0.444819274863165	-0.088802923439099
937.5823	PI	(20:1/22:5)	0.00169264333940453	0.00183802735106975	0.00192386315517722	0.00156264833932724	0.00166344860073962	0.00166943362389371	0.00165682673795305	0.102003007465018	0.20259583510333	0.150479376066678
905.52	PI	(18:2/22:6)	0.00270260282372622	0.00261443344211045	0.00255879194903979	0.0019227308383274	0.00174366587755843	0.00228849600351497	0.00199404979633523	0.00727941762060021	0.0416513959990447	0.401706198417246
869.521	PI	(17:0/20:5)	0.0108881776935284	0.00967766247967075	0.0102811366569896	0.00988909934855044	0.00902102578281191	0.00871474479456209	0.00871380252975671	0.0522174387276359	0.130508045069226	0.17866088849212
929.5202	PI	(20:4/22:6)	0.00212749558770112	0.0021244648540292	0.00219400301819799	0.00130382576161225	0.00107117391310992	0.00126749740987975	0.00115803493287961	7.99344640100727e-05	0.00441519914125337	0.840239208602769
871.5345	PI	(17:0/20:4)	0.0112057286521206	0.00949055412050199	0.00965402920467113	0.0120657900662972	0.0111319107310329	0.0102067909426359	0.0104974880514171	0.277051042492498	0.419153356505858	-0.117537154994749
913.5841	PI	(20:0/20:4)	0.00416099404874724	0.00381114365474843	0.0040943944631796	0.0047415126089228	0.00504299933115663	0.00499101854501868	0.005037533742133	0.00264466444403491	0.0280829812877839	-0.300403405326833
939.5976	PI	(20:0/22:5)	0.00130851400575294	0.000999817769151379	0.00107480944518616	0.000793779239642822	0.000950735258792955	0.00101883957344005	0.00102299204500382	0.181434891094011	0.303094721168677	0.252594602591304
903.505	PI	(18:3/22:6)	0.00192978855137727	0.000858225338282411	0.000991944304907635	0.00105524784658737	0.000868961890916632	0.000917751819309887	0.000906625929202216	0.439630679574397	0.569011480169865	0.427060705225996
814.5633	PS	(20:1/18:1)	0.00914545326021984	0.00608410871515061	0.00814884041817555	0.00873578045044057	0.0111087001007731	0.0101780955065669	0.0106629993352088	0.0981951764483951	0.197766920790927	-0.384303550781657
768.5217	PS	(18:3e/18:1)	0.00354543812584327	0.00391363785016496	0.0040143240179327	0.00350630093724265	0.00514975055666558	0.0046782790667506	0.00463561779168631	0.152322973497583	0.271285956931645	-0.232255784348168
758.4991	PS	(16:0/18:2)	0.00515314216850283	0.00380492018902825	0.00435823322756078	0.00403168913268217	0.00401573536246426	0.00438742526605683	0.00458056403509883	0.691579460759555	0.809756857730294	0.0613880625829728
788.5447	PS	(17:1/19:0)	0.0337644580085528	0.0327176764027338	0.0297579530361548	0.0333576682492051	0.0299879851033486	0.0230133171962448	0.0267480137230454	0.198346475288303	0.321380943042325	0.182059340374095
820.551	PS	(18:0e/22:6)	0.0121771611080613	0.0197302061237692	0.0162083256340137	0.0144821462506947	0.0141295902900897	0.015557540731181	0.0139507182915216	0.562348411578937	0.686606700823008	0.142510410145296
780.4844	PS	(16:0/20:5)	0.00292994781476728	0.00374508892567165	0.00381309602325881	0.00297167512372405	0.00314975383144502	0.00320049467949529	0.00308146347219943	0.297034403705506	0.440476277945116	0.173061207973494
790.5058	PS	(16:1e/22:6)	0.00634922564976508	0.00888889596324517	0.00660304137141129	0.0062032813652388	0.00606203036216277	0.00546964374801594	0.00564265254026954	0.213533349141714	0.339604699188482	0.31695985565596
904.6087	PS	(22:6/23:0)	0.0648614673382195	0.0922761674968425	0.0876974564263083	0.0940049778017045	0.085729387361616	0.0659395152437299	0.0750363913585459	0.897728973920669	0.939129096504389	0.0255772865852436
760.5144	PS	(16:0/18:1)	0.0632921721519037	0.0519224904884099	0.0569676633889803	0.0385610432559825	0.0468372138943932	0.0438550746828239	0.0487868347728809	0.0349024037629354	0.0995677702865664	0.36677180558871
852.484	PS	(20:5/22:6)	0.0010028820021466	0.00232262060425552	0.00171254232502119	0.00213580312653734	0.00180063779181965	0.00351602654747256	0.00169737397121347	0.333288367718545	0.469435576753898	-0.445845254331483
810.5308	PS	(18:0/20:4)	0.0106709532415263	0.0104056939661469	0.0104310633334015	0.0178867604353983	0.0194080874158631	0.0194144404550944	0.0193366034663312	0.000105927503860066	0.00441519914125337	-0.856127885093863
842.5347	PS	(20:3e/22:6)	0.00918091000104496	0.0142422649287467	0.0118658566656572	0.015735779859146	0.0152102876939511	0.0144780023872476	0.0128279929900642	0.185146060101763	0.307905824109595	-0.30805180269006
838.5607	PS	(20:1/20:3)	0.00681215296915069	0.00717310925514806	0.00707445023632796	0.00919395250208335	0.010505947677806	0.00818485810870637	0.00968464643301061	0.0140931149412485	0.0551657741738764	-0.420035019096872
786.531	PS	(18:0/18:2)	0.0173269467398197	0.012828143530939	0.0136491574795735	0.0202426038939464	0.0224996860605754	0.0210286434883482	0.023455754001771	0.0179687700999479	0.065080167336786	-0.578661326605396
876.5759	PS	(22:6/21:0)	0.817313218501354	0.97457380499848	0.918093017768478	0.860235276012645	0.786004563925933	0.609686022667122	0.715082413540093	0.0717085413778035	0.157268864774174	0.282367101591295
864.5775	PS	(20:0/22:5)	0.0190488142179199	0.0143080149844427	0.0159921429432534	0.0150009834872225	0.0160577096542235	0.0172661110372179	0.0160842918735512	0.83070157539706	0.897062356101638	0.0307930908182207
664.4208	PS	(11:0/16:0)	0.0086836555036668	0.0106191486021904	0.0100998930511256	0.0079843705638811	0.00634977790566591	0.0057945028910191	0.00665333094810159	0.0122675512366027	0.0525301445752016	0.549723253305336
782.5009	PS	(18:4/18:0)	0.00103307356124349	0.00070629865317717	0.000755273879011496	0.000461903070645186	0.000470829069843928	0.000730567218874516	0.000492947931257777	0.0802716823078987	0.172985475373522	0.625350015347167
