m.z	class	FattyAcid	nfur.D1m.1	nfur.D1m.2	nfur.D1m.3	nfur.D1m.4	nfur.D6d.1	nfur.D6d.2	nfur.D6d.3	nfur.D6d.4	pvalue	padj	FC
679.4583	PG	(15:0/14:0)	0.00782902431134365	0.00931271624541413	0.0142113689445222	0.0133243491524278	0.0105997773400333	0.0106703632475287	0.00754374621155234	0.00694966944972819	0.276490287095744	0.486766606797863	0.321056922621425
865.5047	PG	(22:6/22:6)	0.00399570917398018	0.00426754052453618	0.00590068590860595	0.00423917374356292	0.00537295881032204	0.00657100538002053	0.00578836318298787	0.00530213305007099	0.0765275788248612	0.221365009889364	-0.323844261960341
867.5178	PG	(22:5/22:6)	0.000438165384850113	0.000490356409605814	0.00100692884086542	0.000484153664799497	0.000871549234097796	0.0015813596456031	0.00121795959661168	0.000839818605066324	0.057485059142236	0.180520483389129	-0.898576076093162
791.5844	PG	(18:0/19:0)	0.459873952984089	0.482506399667077	0.519209056526197	0.422726937173784	0.4307344339872	0.402108677441952	0.348334657674571	0.450278415929558	0.0801724241611292	0.230362098756311	0.207880948114631
775.5514	PG	(18:0/18:1)	0.00977608240486075	0.00974570567860397	0.00959794782237954	0.0100947517933563	0.0121839437808704	0.0133302523013449	0.0123497624100342	0.0110000671309079	0.0128434948539072	0.0570674874436495	-0.317385970689611
867.543	PI	(16:0e/22:6)	0.0103677480412354	0.0100156760287462	0.0115759715504738	0.00989600384354834	0.0158161399281635	0.0147395501905339	0.015011669958765	0.0141282343236342	0.000143849150267703	0.0048729091211927	-0.51221071648664
881.5194	PI	(16:0/22:6)	0.0280123657126303	0.0306979669239583	0.0196053149080667	0.0315058274540054	0.0470994689153009	0.044839259795363	0.0475441319228518	0.0453382462056052	0.00475625245202616	0.0297093450264243	-0.750969330849984
885.549	PI	(18:0/20:4)	0.656715223471664	0.710615106297529	0.783798637272303	0.701451818149459	0.494197616833738	0.533852619376397	0.50111669606239	0.501237896934155	0.00246372722713112	0.0216707435692553	0.490500338601342
861.5501	PI	(18:1/18:1)	0.00922057376061422	0.0110835907669938	0.00837289145331301	0.0136295134168023	0.0177694392463713	0.012577418432632	0.0130291094017296	0.0164307399804277	0.0446659753774414	0.144744626975017	-0.499425581875224
955.5359	PI	(22:5/22:6)	3.89480094463937e-05	6.57417604081068e-05	3.63724133902309e-05	0.000149806744378138	7.94814315671315e-05	3.29661242305799e-05	4.40913703478128e-06	1.7495138789699e-05	0.265077533871929	0.486766606797863	1.11435319747819
889.5779	PI	(20:1/18:1)	0.00337261559143478	0.00348866424591687	0.00355966686648661	0.0029618541983711	0.00262340984577301	0.00310824845452012	0.00245634845652355	0.00288798607216447	0.0261920466413761	0.0990243166880098	0.272944066167961
909.5504	PI	(18:0/22:6)	0.180598219033643	0.212393618343088	0.133162857659396	0.224026553113974	0.235830189095357	0.19468913351991	0.192982975987326	0.204415166326058	0.434948811970112	0.568400202323689	-0.142247751429878
855.5051	PI	(16:0/20:5)	0.0553915384894884	0.0593453317240887	0.048395896205177	0.0583083034555247	0.062538530550918	0.0576569105904721	0.0503418997717813	0.0641532284253018	0.43684283075105	0.568400202323689	-0.0838370522891046
911.5656	PI	(18:0/22:5)	0.129434309983466	0.146557894736219	0.106882227569697	0.148934944491441	0.145430130548323	0.132582290204722	0.120865879566552	0.130812937682025	0.963486863363872	0.965727530487974	0.00575757060507975
857.518	PI	(16:0/20:4)	0.0675806212132884	0.0703400737331249	0.0714188144106136	0.0714331917123687	0.0900232201254241	0.0991074817500993	0.0955739447597121	0.0928821918823798	0.000245259684553805	0.00621805435545234	-0.427405805491443
937.5818	PI	(20:0/22:6)	0.00228748993499092	0.00249111442023356	0.00148475864131778	0.00292341210378048	0.00292263546973713	0.00235632439421583	0.00229766694287768	0.00252699073125705	0.526602770530224	0.628714111076251	-0.137241517665778
893.557	PI	(18:1e/22:6)	0.0120242133691601	0.0121480445766221	0.020588660922575	0.0139538489389484	0.0163875797424382	0.0167203075217563	0.0176309313532393	0.0168115467416101	0.354964650613938	0.503255803995419	-0.202240160251708
935.5656	PI	(20:1/22:6)	0.00212463782336614	0.00227928028490895	0.00149584204317586	0.00202309281571229	0.00209899731852986	0.00190138324077089	0.00195892786616032	0.00186430684708529	0.896482976676997	0.916846362835657	0.0181846015536802
937.5823	PI	(20:1/22:5)	0.000259452317673125	0.000283105494615346	0.000176876746692947	0.000521458575239237	0.000644373162494757	0.000667842760434357	0.000556852868098307	0.000557881134750375	0.0212459493425429	0.0832454924239634	-0.96776546643674
905.52	PI	(18:2/22:6)	0.000385046587250184	0.000433961233387062	0.00023531508672193	0.000512287912313362	0.000293701121024905	0.000285181946885821	0.000232918458360937	0.000256721120137794	0.120127889360476	0.297558162726237	0.552029342386929
