m.z	class	FattyAcid	nfur.D1m.1	nfur.D1m.2	nfur.D1m.3	nfur.D1m.4	nfur.Dexit.1	nfur.Dexit.2	nfur.Dexit.3	nfur.Dexit.4	pvalue	padj	FC
679.4583	PG	(15:0/14:0)	0.00782902431134365	0.00931271624541413	0.0142113689445222	0.0133243491524278	0.00210108208626432	0.00319441008237724	0.00124957473708573	0.00283305409670766	0.00795026967975057	0.0119185174227495	2.2521763258228
865.5047	PG	(22:6/22:6)	0.00399570917398018	0.00426754052453618	0.00590068590860595	0.00423917374356292	0.00364794212723996	0.00386084297025414	0.00352716438615674	0.00376560544672442	0.13058564204835	0.14885885969053	0.314200800035197
867.5178	PG	(22:5/22:6)	0.000438165384850113	0.000490356409605814	0.00100692884086542	0.000484153664799497	0.000796383336453776	0.000813690329697135	0.000898228729148422	0.000835060563174566	0.184119007602037	0.203998180659326	-0.466528853961871
791.5844	PG	(18:0/19:0)	0.459873952984089	0.482506399667077	0.519209056526197	0.422726937173784	0.109600535389137	0.146360839762007	0.0752150216666022	0.13843649471998	1.39099943224523e-05	0.000123832538843547	2.00449727241179
775.5514	PG	(18:0/18:1)	0.00977608240486075	0.00974570567860397	0.00959794782237954	0.0100947517933563	0.0116739604925857	0.0133358882797606	0.0110973713419183	0.0127152773270635	0.0154358957702661	0.0207254550684881	-0.31615934282505
867.543	PI	(16:0e/22:6)	0.0103677480412354	0.0100156760287462	0.0115759715504738	0.00989600384354834	0.0165579090154326	0.0173622179764592	0.0157185233320961	0.0176971764726409	4.06536682637256e-05	0.000250310443166653	-0.685960565017005
881.5194	PI	(16:0/22:6)	0.0280123657126303	0.0306979669239583	0.0196053149080667	0.0315058274540054	0.0961491203103998	0.103025520175411	0.0968398218117548	0.110212463410323	3.11900162771247e-06	7.01249616065354e-05	-1.88712567495307
885.549	PI	(18:0/20:4)	0.656715223471664	0.710615106297529	0.783798637272303	0.701451818149459	0.366307136566659	0.388214643991264	0.345577035083209	0.387972408450049	0.000319778563903308	0.0010209226743876	0.93882416393517
861.5501	PI	(18:1/18:1)	0.00922057376061422	0.0110835907669938	0.00837289145331301	0.0136295134168023	0.0213558600093644	0.0225560035748276	0.0261627843536161	0.0241103158929047	0.000175910905059811	0.000659283478963293	-1.15461505543359
955.5359	PI	(22:5/22:6)	3.89480094463937e-05	6.57417604081068e-05	3.63724133902309e-05	0.000149806744378138	0.000676992088744143	0.000792926628001269	0.000682283162154348	0.00086389217897614	6.06161238695286e-05	0.000326569367347085	-3.37424032784614
889.5779	PI	(20:1/18:1)	0.00337261559143478	0.00348866424591687	0.00355966686648661	0.0029618541983711	0.00163992262259635	0.00210397632142095	0.00226656633446592	0.00230539650419642	0.000836838163373555	0.00198174312315386	0.686442406348933
909.5504	PI	(18:0/22:6)	0.180598219033643	0.212393618343088	0.133162857659396	0.224026553113974	0.333755814306909	0.35069083476133	0.382628748629825	0.364162347281487	0.00110754672248307	0.00244796224302669	-0.931952233795347
855.5051	PI	(16:0/20:5)	0.0553915384894884	0.0593453317240887	0.048395896205177	0.0583083034555247	0.0395505448078289	0.0395924787999735	0.0343219721739208	0.0395397604503003	0.00231163332780015	0.0044478301976869	0.533346317829412
911.5656	PI	(18:0/22:5)	0.129434309983466	0.146557894736219	0.106882227569697	0.148934944491441	0.0973006000690633	0.108386494695832	0.092395797601098	0.108754184540781	0.0409971466928517	0.0510687000711535	0.386458050271149
857.518	PI	(16:0/20:4)	0.0675806212132884	0.0703400737331249	0.0714188144106136	0.0714331917123687	0.0700192484102294	0.0687360885720255	0.0659229230559098	0.0709736527406475	0.404398664879101	0.43465292908452	0.0265550598181017
937.5818	PI	(20:0/22:6)	0.00228748993499092	0.00249111442023356	0.00148475864131778	0.00292341210378048	0.00186676360260427	0.00226171265798418	0.00235749938898986	0.00253072838662281	0.90409659023951	0.91043371587203	0.0269583433270272
893.557	PI	(18:1e/22:6)	0.0120242133691601	0.0121480445766221	0.020588660922575	0.0139538489389484	0.0145291753881626	0.0146979383608614	0.0120293180023031	0.0148009000233533	0.771642785010555	0.795641244831457	0.0668203360230264
935.5656	PI	(20:1/22:6)	0.00212463782336614	0.00227928028490895	0.00149584204317586	0.00202309281571229	0.00864196745244974	0.00920645126934674	0.00944867667783264	0.00940933271957967	1.34417887331832e-07	2.89670547200098e-05	-2.21194079951125
937.5823	PI	(20:1/22:5)	0.000259452317673125	0.000283105494615346	0.000176876746692947	0.000521458575239237	0.00156264833932724	0.00166344860073962	0.00166943362389371	0.00165682673795305	0.000122470673490823	0.000513636320973143	-2.40063515384805
905.52	PI	(18:2/22:6)	0.000385046587250184	0.000433961233387062	0.00023531508672193	0.000512287912313362	0.0019227308383274	0.00174366587755843	0.00228849600351497	0.00199404979633523	0.000117331486868793	0.000505698708404497	-2.34311611745018
869.521	PI	(17:0/20:5)	0.00970375078078156	0.0102278913646277	0.0138097231880017	0.0108540164317139	0.00988909934855044	0.00902102578281191	0.00871474479456209	0.00871380252975671	0.106424297641741	0.1236357743493	0.295388599208215
929.5202	PI	(20:4/22:6)	0.00020189365030836	0.000230678368600743	6.19111268238913e-05	0.000232650281689822	0.00130382576161225	0.00107117391310992	0.00126749740987975	0.00115803493287961	8.69510550278199e-06	9.52948464216688e-05	-2.72290227593553
871.5345	PI	(17:0/20:4)	0.0120841550950771	0.0131599228330076	0.0213415470267359	0.0132998413884522	0.0120657900662972	0.0111319107310329	0.0102067909426359	0.0104974880514171	0.157809751496431	0.176207261385912	0.447919915960776
913.5841	PI	(20:0/20:4)	0.0124058347939903	0.0136542331534074	0.0196087198207786	0.0142700254885232	0.0047415126089228	0.00504299933115663	0.00499101854501868	0.005037533742133	0.00796411373028275	0.0119185174227495	1.59703849962479
939.5976	PI	(20:0/22:5)	0.00117264245793606	0.00164436063380945	0.00120403081151431	0.00206966137189461	0.000793779239642822	0.000950735258792955	0.00101883957344005	0.00102299204500382	0.0686579909791173	0.0828896193613432	0.685800629967351
903.505	PI	(18:3/22:6)	3.51288066899205e-05	2.48552621724232e-05	1.64479452036356e-05	4.9514649827741e-05	0.00105524784658737	0.000868961890916632	0.000917751819309887	0.000906625929202216	0.000140070291644903	0.000556421396224924	-4.89546225949664
814.5633	PS	(20:1/18:1)	0.0127320455410933	0.0152456907108979	0.0191086897819544	0.0189317279541325	0.00873578045044057	0.0111087001007731	0.0101780955065669	0.0106629993352088	0.0207551539516172	0.0271898825323617	0.698345404157685
768.5217	PS	(18:3e/18:1)	0.02989838529152	0.0190751664814323	0.0159968646853325	0.0188443218880232	0.00350630093724265	0.00514975055666558	0.0046782790667506	0.00463561779168631	0.0120221296247205	0.0166608934670564	2.22161769358577
