Class	M27_KV_E	M12_EX_E	M9_EX_E	Y8_KV_E	M21_DEV_E	AY10_KV_E	AO13_KV_E	AO10_KV_E	M7_EX_E	AY3_KV_E	AY1_KV_E	M29_KV_E	AY2_KV_E	M8_EX_E	M18_D6_E	O9_KV_E	MA_M2_E	AO8_KV_E	M24_DEV_E	M4_D6_E	M5_D6_E	Y9_KV_E	O13_KV_E	O11_KV_E	M28_KV_E	O8_KV_E	M10_DEV_E	Y6_KV_E	M19_D6_E	M13_DEV_E	Y7_KV_E	AO3_KV_E
PG_LongChainFA	0.954958119400587	0.246751155935974	0.32578227624829	0.89909333628124	0.139023228282344	1.56318654292459	0.582911159915515	0.391838271191705	0.175123935491212	2.1652525096849	2.09089865255549	1.00312964318219	1.35047199220419	0.307969652287502	0.907036310216207	0.832941389835582	1.0860367465862	0.532466943105866	0.267082348973237	0.852218585981651	0.736456332592315	0.834041403647528	3.56220900457682	1.2944482969406	0.892292076239136	1.64370791972638	0.281174882574683	0.544096958666118	0.936456305020388	0.29046461330764	1.12112299802253	0.521245007865716
PG_MUFA	0.00977608240486075	0.0116739604925857	0.0133358882797606	0.00828835495745445	0.0096439444095038	0.0104068081058989	0.00848022826601251	0.00726606571822802	0.0110973713419183	0.00991790188031121	0.00976966622188876	0.00974570567860397	0.00858140626169738	0.0127152773270635	0.0121839437808704	0.0125053274805357	0.00959794782237954	0.00732595199860335	0.0094325165759714	0.0133302523013449	0.0123497624100342	0.00775304029470056	0.0165380222340762	0.0132988093214242	0.0100947517933563	0.010589616784294	0.0115273937124324	0.0060713057403826	0.0110000671309079	0.0112882392947673	0.00806623984851501	0.00736719528497228
PG_PUFA	0.00886774911766059	0.00888865092738747	0.00934906659990255	0.012055446312046	0.00844470793799677	0.0328399505309614	0.0244891709596549	0.0292696092042947	0.00885078623061032	0.0300281297745971	0.0245525290033063	0.00951579386828399	0.0282079413263369	0.00920133201979797	0.0124890160888397	0.017884914122707	0.0138152294989427	0.0257300782870412	0.0107114885874427	0.0163047300512473	0.0140126455591991	0.0121537302250225	0.0189672972343247	0.0192359213223229	0.00944665481672484	0.014367515560775	0.0109844048572825	0.00794286197746533	0.0122839033102746	0.0111811646074744	0.015507264890294	0.0222956744626752
PG_PUFA_5	0.000438165384850113	0.000796383336453776	0.000813690329697135	0.000637873725537119	0.000828848255391323	0.00139794381688609	0.00130474001381123	0.00178905908898465	0.000898228729148422	0.00130500036313304	0.00116847735904485	0.000490356409605814	0.00147161737573574	0.000835060563174566	0.000871549234097796	0.00100706671722065	0.00100692884086542	0.00147620789872779	0.000815013805274168	0.0015813596456031	0.00121795959661168	0.000628531674171392	0.00024052017051634	0.000686016045997525	0.000484153664799497	0.000443501020544249	0.000901597927922248	0.000378779450032756	0.000839818605066324	0.000952307644359524	0.000662142616440395	0.00136156173872535
PG_PUFA_6	0.00842958373281047	0.0080922675909337	0.00853537627020541	0.0114175725865089	0.00761585968260544	0.0314420067140753	0.0231844309458436	0.02748055011531	0.0079525575014619	0.028723129411464	0.0233840516442614	0.00902543745867817	0.0267363239506011	0.00836627145662341	0.0116174668547419	0.0168778474054864	0.0128083006580773	0.0242538703883134	0.00989647478216855	0.0147233704056442	0.0127946859625874	0.0115251985508512	0.0187267770638084	0.0185499052763253	0.00896250115192534	0.0139240145402307	0.0100828069293602	0.00756408252743258	0.0114440847052083	0.0102288569631149	0.0148451222738536	0.0209341127239498
PG_SFA	0.945182036995726	0.235077195443388	0.312446387968529	0.890804981323786	0.12937928387284	1.55277973481869	0.574430931649502	0.384572205473477	0.164026564149294	2.15533460780459	2.0811289863336	0.993383937503586	1.34189058594249	0.295254374960439	0.894852366435337	0.820436062355046	1.07643879876382	0.525140991107263	0.257649832397266	0.838888333680306	0.724106570182281	0.826288363352827	3.54567098234275	1.28114948761918	0.88219732444578	1.63311830294208	0.26964748886225	0.538025652925735	0.92545623788948	0.279176374012873	1.11305675817401	0.513877812580744
PG_VeryLongChainFA	0.00886774911766059	0.00888865092738747	0.00934906659990255	0.012055446312046	0.00844470793799677	0.0328399505309614	0.0244891709596549	0.0292696092042947	0.00885078623061032	0.0300281297745971	0.0245525290033063	0.00951579386828399	0.0282079413263369	0.00920133201979797	0.0124890160888397	0.017884914122707	0.0138152294989427	0.0257300782870412	0.0107114885874427	0.0163047300512473	0.0140126455591991	0.0121537302250225	0.0189672972343247	0.0192359213223229	0.00944665481672484	0.014367515560775	0.0109844048572825	0.00794286197746533	0.0122839033102746	0.0111811646074744	0.015507264890294	0.0222956744626752
PE_EtherLinked	1.67906804834392	1.50288939017909	1.57709903840699	1.22739911602522	1.63875494220221	2.48592628930276	2.75100789465346	2.79944716387455	1.52039834032288	2.44485238466779	2.13043214190299	1.91216597846673	2.17747738411125	1.5644763538443	2.09893215246583	1.46205420758035	1.68752647627796	2.61867592158719	1.63511397233456	2.05744686262514	1.7564290615559	1.16534477038664	1.50273115592988	1.39758175573306	1.92578548123932	1.20736384890908	1.82140886762825	0.918507616490736	1.8611671548458	1.83891593168147	1.21692486770654	2.62177509842638
PE_LongChainFA	5.5602579565545	6.43315094933143	6.72480297820794	6.50565141641978	6.72775081048284	7.64173764052035	7.62463173811388	7.17873051794503	6.22761878382048	7.84150576485068	7.14080812954566	6.22159454342816	7.05883880728339	6.81317666548872	5.96129459468086	6.30977216207556	5.43572010247127	6.94962124167556	7.21939280258825	5.97616359919547	5.48405093731744	6.09932828804232	7.15573309990538	6.56122917173672	6.11584888529632	5.90121704678634	7.5449476039938	4.8443422898212	5.6375387326966	7.68393017138548	6.19399953031483	7.13047684811366
PE_MUFA	1.03293270573048	1.65246083524612	1.67149970108348	1.82457702027676	1.81070417657273	1.03206696701847	1.09318498814382	0.859248114310673	1.52511023959506	1.01620545367655	1.06601874210145	1.12531265778166	0.982831078123533	1.71457780105222	1.08002052058692	1.68928786516861	1.03269786255488	0.947813903280482	2.0285942123017	1.18882594410637	1.15077197000469	1.69841178266627	1.87808418193829	1.77199966970027	1.09057594091422	1.60543762953949	1.96676785548388	1.41539900269827	1.08598198128357	2.04606829616719	1.66330905570815	0.995290884586736
